"Hash","SizeMB","Path"
"","12928","D:\pagefile.sys"
"","4474","D:\برامج\Office-2021-[MultiLanguage].rar"
"","1506.2","D:\برامج\Office-2021-[MultiLanguage]\[Traidsoft.Net] Office 2021 Multi-Language\Setup\distr\Office\Data\16.0.14332.20216\stream.x86.x-none.dat"
"2FB4C553656C51F0DCFD5EAF12250B0B5CF1A2E61C24F63873092DF46957C8D3","579.7","D:\Docker Desktop Installer.exe"
"2FB4C553656C51F0DCFD5EAF12250B0B5CF1A2E61C24F63873092DF46957C8D3","579.7","D:\برامج\Docker Desktop Installer.exe"
